rostime,x_acc,y_acc,z_acc
1592291186.217,1.393,-9.081,-0.853
1592291186.221,1.549,-9.542,-2.079
1592291186.225,0.912,-9.12,-2.815
1592291186.229,0.0,-8.767,-2.491
1592291186.233,-0.412,-9.424,-2.099
1592291186.237,-0.108,-9.12,-1.432
1592291186.241,0.51,-9.385,-0.932
1592291186.244,0.667,-9.826,-1.314
1592291186.248,0.51,-9.424,-2.452
1592291186.252,0.01,-9.267,-2.795
1592291186.256,-0.785,-8.983,-2.471
1592291186.26,-1.049,-9.748,-1.952
1592291186.264,-1.089,-8.679,-0.686
1592291186.268,-0.853,-10.111,-0.853
1592291186.272,0.147,-9.865,-2.197
1592291186.276,0.726,-9.042,-3.275
1592291186.28,0.343,-9.581,-3.423
1592291186.283,-0.804,-9.522,-2.962
1592291186.287,-1.334,-9.346,-1.275
1592291186.291,-0.99,-9.905,-0.628
1592291186.295,-0.343,-9.307,-1.069
1592291186.299,0.53,-9.581,-2.01
1592291186.302,0.686,-9.081,-2.922
1592291186.306,-0.284,-8.846,-3.001
1592291186.31,-0.785,-10.15,-2.334
1592291186.314,-0.451,-8.904,-1.275
1592291186.318,0.088,-9.807,-0.853
1592291186.322,0.628,-10.071,-1.628
1592291186.326,0.706,-9.179,-2.658
1592291186.33,-0.049,-9.463,-2.756
1592291186.334,-0.647,-10.052,-2.599
1592291186.338,-0.412,-9.365,-2.03
1592291186.342,0.245,-9.101,-1.226
1592291186.346,0.99,-10.013,-1.775
1592291186.35,1.128,-9.483,-2.334
1592291186.354,0.686,-9.63,-2.354
1592291186.358,0.265,-10.169,-2.157
1592291186.361,-0.127,-9.669,-1.971
1592291186.365,-0.343,-9.503,-1.608
1592291186.369,-0.108,-9.326,-1.569
1592291186.373,0.186,-9.885,-2.118
1592291186.377,0.686,-9.248,-2.295
1592291186.381,0.745,-9.581,-2.736
1592291186.385,0.0,-9.405,-2.501
1592291186.389,-0.892,-9.346,-2.05
1592291186.393,-0.873,-9.365,-1.393
1592291186.397,-0.363,-9.267,-1.471
1592291186.401,0.686,-9.885,-2.275
1592291186.405,1.334,-9.522,-2.697
1592291186.409,0.284,-10.052,-2.618
1592291186.413,-1.432,-9.405,-2.099
1592291186.417,-1.736,-9.787,-1.471
1592291186.42,-1.245,-9.267,-1.275
1592291186.424,-0.304,-9.65,-2.334
1592291186.428,0.363,-9.248,-3.138
1592291186.432,-0.069,-9.248,-3.295
1592291186.436,-1.206,-9.424,-2.756
1592291186.44,-1.667,-9.542,-1.775
1592291186.444,-1.255,-9.444,-1.069
1592291186.448,-0.647,-10.248,-1.569
1592291186.452,0.206,-10.13,-3.001
1592291186.456,0.49,-9.287,-3.825
1592291186.46,0.029,-9.748,-3.344
1592291186.464,-0.382,-9.591,-2.138
1592291186.468,-0.451,-9.65,-0.745
1592291186.472,-0.51,-9.983,-0.284
1592291186.475,0.01,-10.071,-1.608
1592291186.479,0.588,-9.826,-3.079
1592291186.483,0.265,-9.061,-3.785
1592291186.487,-0.431,-9.444,-3.521
1592291186.491,-0.785,-9.591,-2.393
1592291186.495,-0.706,-9.326,-1.226
1592291186.499,-0.51,-9.709,-0.892
1592291186.503,0.226,-9.728,-1.471
1592291186.507,0.588,-9.522,-2.579
1592291186.511,-0.147,-9.669,-3.099
1592291186.515,-1.108,-9.63,-3.079
1592291186.519,-1.187,-9.042,-1.716
1592291186.523,-0.588,-9.503,-0.726
1592291186.527,0.01,-9.611,-1.334
1592291186.531,0.569,-9.061,-2.118
1592291186.534,0.265,-8.806,-2.815
1592291186.538,-0.647,-9.061,-3.04
1592291186.542,-1.294,-9.365,-2.177
1592291186.546,-1.294,-8.679,-0.951
1592291186.55,-0.745,-9.463,-1.03
1592291186.554,0.167,-10.189,-2.05
1592291186.558,0.147,-8.296,-2.913
1592291186.562,-0.412,-9.405,-3.04
1592291186.566,-0.932,-9.748,-2.314
1592291186.57,-1.53,-8.924,-1.314
